heure,mac_source,mac_destination,source,destination,protocole,sport,dport,taille
16:27:54,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,103
16:27:54,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.21,HTTPS,61707,443,66
16:27:54,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.21,HTTPS,61707,443,66
16:27:54,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.21,HTTPS,61707,443,66
16:27:54,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,119
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,103
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,103
16:27:55,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,102.132.104.13,192.168.1.97,HTTPS,443,61705,113
16:27:55,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,102.132.104.13,192.168.1.97,HTTPS,443,61705,66
16:27:55,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,102.132.104.13,192.168.1.97,HTTPS,443,61705,66
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,66
16:27:55,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,102.132.104.13,192.168.1.97,HTTPS,443,61705,113
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,66
16:27:55,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,102.132.104.13,192.168.1.97,HTTPS,443,61705,113
16:27:55,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,102.132.104.13,192.168.1.97,HTTPS,443,61705,113
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,66
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,102.132.104.13,HTTPS,61705,443,66
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,173
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:55,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:56,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:56,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,1494
16:27:56,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,620
16:27:56,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,20.184.175.19,HTTPS,59672,443,830
16:27:56,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,20.184.175.19,192.168.1.97,HTTPS,443,59672,54
16:27:56,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,20.184.175.19,192.168.1.97,HTTPS,443,59672,54
16:27:56,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,20.184.175.19,192.168.1.97,HTTPS,443,59672,54
