heure,mac_source,mac_destination,source,destination,protocole,sport,dport,taille
09:05:59,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,3.211.89.207,192.168.1.97,HTTPS,443,55703,66
09:06:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,2605:59ca:824f:7010:d814:71cf:c119:a8a7,2600:1901:0:47fc::,IPv6,55105,443,75
09:06:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2600:1901:0:47fc::,2605:59ca:824f:7010:d814:71cf:c119:a8a7,IPv6,443,55105,86
09:06:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,fd57:b7a9:c5e6:10:d814:71cf:c119:a8a7,fd57:b7a9:c5e6:10::1,IPv6,60512,53,118
09:06:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,fd57:b7a9:c5e6:10:d814:71cf:c119:a8a7,fd57:b7a9:c5e6:10::1,IPv6,50403,53,118
09:06:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,fd57:b7a9:c5e6:10::1,fd57:b7a9:c5e6:10:d814:71cf:c119:a8a7,IPv6,53,60512,232
09:06:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,fd57:b7a9:c5e6:10::1,fd57:b7a9:c5e6:10:d814:71cf:c119:a8a7,IPv6,53,50403,281
09:06:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,140.82.113.22,HTTPS,49672,443,66
09:06:01,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,35.241.29.71,HTTPS,62937,443,55
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,35.241.29.71,192.168.1.97,HTTPS,443,62937,66
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.113.22,192.168.1.97,HTTPS,443,49672,66
09:06:01,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,140.82.113.22,HTTPS,49672,443,54
09:06:01,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,140.82.113.22,HTTPS,49672,443,571
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2606:4700:440b::6812:2715,2605:59ca:824f:7010:d814:71cf:c119:a8a7,IPv6,443,49322,102
09:06:01,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,2605:59ca:824f:7010:d814:71cf:c119:a8a7,2606:4700:440b::6812:2715,IPv6,49322,443,102
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,2606:4700:440b::6812:2715,2605:59ca:824f:7010:d814:71cf:c119:a8a7,IPv6,443,49322,78
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.113.22,192.168.1.97,HTTPS,443,49672,1490
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.113.22,192.168.1.97,HTTPS,443,49672,1490
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.113.22,192.168.1.97,HTTPS,443,49672,1278
09:06:01,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,140.82.113.22,HTTPS,49672,443,54
09:06:01,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.113.22,192.168.1.97,HTTPS,443,49672,1490
09:07:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,193.239.234.84,TCP,60370,6881,66
09:07:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,183.82.5.233,TCP,60371,52022,66
09:07:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,77.244.144.31,TCP,60374,6881,66
09:07:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,200.71.65.54,TCP,60372,6881,66
09:07:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,83.222.7.206,TCP,60375,6881,66
09:07:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,27.49.138.150,TCP,60373,22850,66
09:07:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,193.239.234.84,192.168.1.97,TCP,6881,60370,54
09:07:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,140.82.114.21,192.168.1.97,HTTPS,443,63187,93
09:07:00,80:a5:89:11:0d:ff,74:24:9f:1a:e7:bd,192.168.1.97,140.82.114.21,HTTPS,63187,443,54
09:07:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,83.222.7.206,192.168.1.97,TCP,6881,60375,54
09:07:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,77.244.144.31,192.168.1.97,TCP,6881,60374,54
09:07:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,183.82.5.233,192.168.1.97,TCP,52022,60371,54
09:07:00,74:24:9f:1a:e7:bd,80:a5:89:11:0d:ff,200.71.65.54,192.168.1.97,TCP,6881,60372,54
